SrNo,ItemCode,ItemName,Pack,Manufacturer,HSN,GST%,MRP,PurchaseRate,SellingRate,ScheduleClass,BatchNo,ExpDate,Qty,Loc,Notes
1,VPH-00001,Loratadine 10mg,Tab,CIPLA,30049099,12,495.81,364.93,460.48,,B9682H,12-Feb-2028,590,R7-S7,
2,VPH-00002,Diazepam 5mg,Tab,Sun Pharmaceutical,30049099,18,1355.37,1032.79,₹1257.57,H1,B4950H,04.02.2028,85,R3-S7,
3,VPH-00003,Disprin,Tab,Torrent,30049099,12,372.98,286.80,367.76,,B6852F,26/03/2027,202,R4-S6,
4,VPH-00004,Lorazepam 2mg,Tab,Alkem,30049099  ,18,850.07,568.76,Rs.818.78,H1,B3238A,17.11.2027,581,R4-S8,
5,VPH-00005,Morphine Sulfate 10mg,Tab,GSK,30039011  ,18,56.39,31.03,52.07,X,B1797F,07.08.2025,584,R4-S8,
6,VPH-00006,Diazepam 5mg,Tab,Mankind,30049099  ,18,1711.15,1145.71,₹1594.76,H1,B3752E,10/05/2025,70,R7-S3,
7,VPH-00007,Alprazolam 0.5mg,Tab,Glenmark,30049099  ,18,1764.95,₹1026.51,1653.83,H1,B9335F,02/06/2026,146,R1-S11,
8,VPH-00008,Saridon,Tab,GlaxoSmithKline,30049099,12,₹853.41,498.42,799.07,,B9486D,28-Sep-2027,431,R4-S9,
9,VPH-00009,Vitamin B12 1500mcg,Tab,Glenmark Pharma,30049099  ,12,341.33,212.66,₹329.87,,B4579G,08-Jul-2027,432,R3-S12,
10,VPH-00010,ORS Sachet 21g,Sachet,Pfizer,30049099,5,915.26,₹611.32,900.69,,B1026G,25-Jun-2025,268,R2-S5,
11,VPH-00011,Pudin Hara Pearls,Cap,ALKEM,30049099,12,1090.95,Rs.719.84,1004.50,,B8252C,22/08/2027,274,R2-S3,
12,VPH-00012,Dolo 650mg,Tab,GLENMARK,30049099,12,1121.08,736.22,1074.95,,B3774B,08/11/2026,158,R5-S4,"Pack: Tab, blister"
13,VPH-00013,Lorazepam 2mg,Tab,GLENMARK,30049099,18,1717.27,997.56,1711.48,H1,B6694A,27-Jul-2026,450,R1-S8,
14,VPH-00014,Lorazepam 2mg,Tab,TORRENT,30049099,18,228.75,174.49,218.60,H1,B8880F,19-Dec-2027,32,R1-S2,
15,VPH-00015,Lorazepam 2mg,Tab,Sanofi India,30049099,18,1279.01,₹894.46,Rs.1238.99,H1,B2778E,15-Aug-2026,328,R2-S6,"Pack: Tab, blister"
16,VPH-00016,Becosules,Cap,Himalaya Drug Co,30049099,12,248.49,187.23,243.21,,B9561D,01/04/2026,330,R1-S5,
17,VPH-00017,Alprazolam 0.5mg,Tab,Cipla Ltd,30049099  ,18,Rs.372.42,285.53,361.72,H1,B8856F,15-Apr-2028,481,R6-S9,
18,VPH-00018,Levofloxacin 500mg,Tab,Pfizer,  30041000,12,578.52,403.59,₹554.80,H,B6923D,11/05/2027,206,R3-S9,
19,VPH-00019,Lorazepam 2mg,Tab,Macleods Pharma,30049099,18,1304.54,974.04,1286.78,H1,B1166D,05/10/2027,147,R7-S8,
20,VPH-00020,Loratadine 10mg,Tab,Cipla Ltd,  30049099,12,Rs.296.60,226.06,284.06,,B1956F,23/05/2027,512,R8-S2,
21,VPH-00021,Alprazolam 0.5mg,Tab,TORRENT,30049099,18,Rs.233.94,162.38,224.39,H1,B7126C,23-Jul-2027,508,R5-S4,
22,VPH-00022,Atorvastatin 10mg,Tab,Lupin Ltd,30049099,12,1552.04,1001.60,1508.35,,B4738A,11.03.2028,595,R8-S12,
23,VPH-00023,Omeprazole 20mg,Cap,GSK,30049099,12,1179.81,₹794.47,₹1106.02,,B8472G,14/04/28,361,R2-S8,
24,VPH-00023,Omeprazole 20mg,Cap,GSK,30049099,12,1179.81,1044.37,1747.94,,B6890C,18.10.2027,237,R4-S1,
25,VPH-00024,Alprazolam 0.5mg,Tab,ALKEM,30049099,18,97.43,69.78,94.84,H1,B7823G,03.11.2025,311,R5-S3,
26,VPH-00025,Norfloxacin 400mg,Tab,Pfizer,30041000  ,12,743.32,Rs.543.51,₹734.40,H,B7770F,10/03/27,314,R7-S9,
27,VPH-00025,Norfloxacin 400mg,Tab,Pfizer,30041000  ,12,743.32,960.79,1200.48,H,B8600D,06/02/28,173,R7-S8,
28,VPH-00026,Prednisolone 5mg,Tab,Lupin Ltd,30049099,12,793.55,471.84,734.64,H,B8681D,20/01/28,141,R2-S8,
29,VPH-00027,Alprazolam 0.5mg,Tab,GSK Pharma,30049099,18,237.60,153.57,230.29,H1,B8177F,08.09.2026,72,R8-S6,
30,VPH-00028,Cefixime 200mg,Tab,Himalaya,30041000,12,603.26,402.92,563.58,H,B4729F,17/08/2026,304,R7-S3,
31,VPH-00029,Metronidazole 400mg,Tab,Zydus,30049099  ,12,1090.89,681.99,1085.84,H,B8036F,22-Jan-2027,575,R4-S6,
32,VPH-00030,Morphine Sulfate 10mg,Tab,cipla ,30039011,18,179.66,109.46,166.62,X,B2758B,17-Jul-2027,264,R6-S8,
33,VPH-00031,Pethidine 50mg,Vial,PFIZER,30039011,18,1171.66,823.46,1169.83,X,B7001H,19.08.2025,218,R2-S9,
34,VPH-00032,Combiflam,Tab,Macleods,30049099,12,₹1164.84,₹657.12,1115.53,,B6775C,28-May-2026,349,R5-S11,
35,VPH-00033,Dexamethasone 0.5mg,Tab,Glenmark Pharma,30049099,12,₹1407.93,1075.33,₹1364.53,H,B6406D,19-Apr-2027,309,R4-S11,
36,VPH-00033,Dexamethasone 0.5mg,Tab,Glenmark Pharma,30049099,12,₹1407.93,358.00,574.27,H,B1016E,01.11.2026,127,R8-S3,
37,VPH-00034,Revital H,Cap,Sun Pharma Ltd,30049099  ,12,811.97,554.04,₹756.65,,B3892B,11/01/27,224,R1-S2,
38,VPH-00035,Metronidazole 400mg,Tab,GLENMARK,30049099,12,1095.37,₹721.72,1081.55,H,B2430F,18/03/27,277,R6-S9,
39,VPH-00036,Vitamin D3 60K,Sachet,Macleods Pharma,30049099,12,1010.52,772.84,999.14,,B7589B,08/06/26,338,R6-S2,
40,VPH-00037,Lorazepam 2mg,Tab,Himalaya Drug Co,30049099,18,1148.67,839.59,1079.17,H1,B1271G,28.08.2026,108,R3-S8,
41,VPH-00038,Doxycycline 100mg,Cap,ALKEM,30041000,12,340.20,236.13,337.06,H,B8662F,05-Aug-2026,43,R8-S3,
42,VPH-00038,Doxycycline 100mg,Cap,ALKEM,30041000,12,340.20,461.66,667.33,H,B4669F,04/02/28,168,R3-S10,
43,VPH-00039,Levofloxacin 500mg,Tab,Sanofi,  30041000,12,Rs.1796.23,1106.23,1701.57,H,B6566B,12-Jan-2028,397,R8-S4,"Pack: Tab, blister"
44,VPH-00040,Domperidone 10mg,Tab,Sanofi,30049099,12,158.14,108.57,147.24,,B9840E,10.07.2027,148,R5-S9,
45,VPH-00040,Domperidone 10mg,Tab,Sanofi,30049099,12,158.14,1367.08,1760.20,,B7775A,27/01/28,291,R8-S9,
46,VPH-00041,Clonazepam 0.5mg,Tab,Dr Reddys,30049099,18,278.08,₹209.07,269.36,H1,B2824H,13.02.2027,341,R5-S10,
47,VPH-00042,Volini Gel 75g,Gel,Mankind Pharma,30049099,12,883.93,₹631.39,Rs.833.78,,B7781B,06/08/26,163,R3-S9,
48,VPH-00043,Iodex 16g,Ointment,Mankind Pharma,30049099,12,1253.69,873.65,₹1220.80,,B6151A,19.08.2027,277,R3-S12,
49,VPH-00043,Iodex 16g,Ointment,Mankind Pharma,30049099,12,1253.69,715.97,1134.69,,B5377H,30/12/2027,379,R4-S4,
50,VPH-00044,Insulin Glargine 100IU,Vial,ALKEM,30043990  ,5,289.78,172.57,274.80,H,B3497E,09/04/2028,521,R8-S10,
51,VPH-00045,Pethidine 50mg,Vial,MANKIND,30039011,18,1285.94,981.13,1219.08,X,B2124C,30/09/2026,98,R7-S9,
52,VPH-00046,Eno Fruit Salt 100g,Sachet,LUPIN,30049099,12,1734.19,1226.35,1679.03,,B1876A,27/06/26,417,R6-S2,
53,VPH-00047,Pethidine 50mg टॅब,Vial,Himalaya Drug Co,30039011,18,300.44,190.19,289.44,X,B5528D,30.03.2028,337,R6-S7,
54,VPH-00048,Calcium Carbonate 500mg,Tab,Torrent,30049099,12,₹615.63,356.61,₹610.13,,B6034G,31.07.2026,70,R8-S6,
55,VPH-00048,Calcium Carbonate 500mg,Tab,Torrent,30049099,12,₹615.63,355.94,₹599.37,,B8101A,05-Aug-2027,85,R2-S9,
56,VPH-00049,Salbutamol Inhaler 200d,Inhaler,Lupin,30049099,12,731.14,415.38,Rs.722.52,H,B9507H,16-Mar-2027,463,R6-S1,
57,VPH-00050,Lorazepam 2mg,Tab,GSK Pharma,30049099,18,164.63,98.72,155.92,H1,B7703D,25-Sep-2027,311,R7-S1,
58,VPH-00051,Alprazolam 0.5mg,Tab,Cipla,30049099  ,18,1052.35,778.99,1004.06,H1,B5926E,23.12.2027,247,R2-S4,
59,VPH-00052,ORS Sachet 21g,Sachet,ZYDUS,30049099,5,428.01,272.86,409.15,,B7022A,30.12.2027,469,R6-S5,
60,VPH-00053,Telmisartan 40mg,Tab,Himalaya,  30049099,12,151.80,89.52,₹146.06,,B1978H,04/11/2026,253,R2-S3,"Pack: Tab, blister"
61,VPH-00054,Crocin 500mg टॅब,Tab,cipla ,30049099,12,405.22,309.01,390.22,,B5557H,01-Oct-2026,35,R8-S8,
62,VPH-00054,Crocin 500mg टॅब,Tab,cipla ,30049099,12,405.22,32.68,54.21,,B9139C,04.06.2026,67,R2-S1,
63,VPH-00055,Dexamethasone 0.5mg,Tab,Macleods Pharma,  30049099,12,732.79,443.10,720.77,H,B5892E,15-Apr-2027,99,R6-S7,
64,VPH-00056,Disprin,Tab,Dr Reddys,30049099  ,12,34.13,25.32,33.36,,B5073F,17-Jan-2028,340,R2-S12,
65,VPH-00057,Levofloxacin 500mg,Tab,MACLEODS,30041000  ,12,792.05,458.22,₹757.05,H,B5158F,05/06/2027,98,R4-S3,
66,VPH-00058,Loratadine 10mg,Tab,Alkem Labs,30049099,12,967.94,753.27,932.83,,B4543H,28-Mar-2028,139,R8-S7,
67,VPH-00059,Dolo 650mg,Tab,GlaxoSmithKline,30049099,12,473.26,341.19,453.59,,B5531B,16-Jul-2027,288,R8-S2,
68,VPH-00060,Clonazepam 0.5mg,Tab,ABBOTT,30049099,18,Rs.1285.74,968.31,1253.14,H1,B3440A,29-Mar-2026,473,R5-S8,
69,VPH-00061,ORS Sachet 21g,Sachet,SUN PHARMA,30049099,5,Rs.281.84,₹187.77,272.39,,B9079D,01.05.2028,134,R7-S10,
70,VPH-00061,ORS Sachet 21g,Sachet,SUN PHARMA,30049099,5,Rs.281.84,653.20,839.09,,B9028D,27/12/2027,543,R3-S3,
71,VPH-00062,Zolpidem 10mg,Tab,ABBOTT,30049099,18,₹752.96,₹474.48,Rs.701.35,H1,B6501E,25.05.2027,380,R5-S1,
72,VPH-00063,Ibuprofen 400mg,Tab,Sun Pharma,30049099,12,367.56,₹251.47,338.17,,B2880D,10/09/2027,405,R5-S5,
73,VPH-00064,Vitamin B12 1500mcg,Tab,SUN PHARMA,30049099,12,267.98,Rs.187.56,₹247.90,,B8656D,05-Apr-2028,68,R8-S10,
74,VPH-00065,Omeprazole 20mg,Cap,ABBOTT,30049099,12,₹320.28,181.66,₹318.99,,B9860A,14.07.2027,589,R7-S6,
75,VPH-00065,Omeprazole 20mg,Cap,ABBOTT,30049099,12,₹320.28,Rs.1203.93,1787.45,,B4431H,23/09/2027,320,R3-S4,
76,VPH-00066,ORS Sachet 21g,Sachet,Himalaya,30049099,5,951.72,₹601.67,884.58,,B5010C,01/03/27,450,R5-S4,"Pack: Sachet, blister"
77,VPH-00067,Cetirizine 10mg,Tab,Himalaya,30049099,12,156.67,111.32,150.88,,B1168E,14/12/27,122,R8-S5,
78,VPH-00068,Saridon,Tab,Alkem,  30049099,12,421.11,250.88,410.99,,B1815A,09-Dec-2027,281,R5-S5,
79,VPH-00069,ORS Sachet 21g,Sachet,Cipla Ltd,30049099  ,5,Rs.103.84,Rs.70.14,102.33,,B6695F,22/03/28,277,R8-S11,
80,VPH-00070,Zolpidem 10mg,Tab,Glenmark Pharma,30049099  ,18,659.33,418.05,₹623.00,H1,B5835D,29.10.2026,542,R8-S1,
81,VPH-00071,Crocin Advance,Tab,Himalaya,30049099  ,12,53.50,38.25,51.07,,B2617G,07/10/2026,12,R7-S8,"Pack: Tab, blister"
82,VPH-00071,Crocin Advance,Tab,Himalaya,30049099  ,12,53.50,1299.99,1745.12,,B7737H,30/10/27,365,R7-S3,"Pack: Tab, blister"
83,VPH-00072,Crocin 500mg टॅब,Tab,Torrent Pharma,30049099,12,451.50,281.23,432.91,,B7096D,12/09/2026,407,R2-S11,
84,VPH-00073,Dolo 650mg,Tab,Sanofi,30049099  ,12,1719.46,1253.81,1597.58,,B3614F,24/05/26,179,R7-S9,"Pack: Tab, blister"
85,VPH-00074,Loratadine 10mg,Tab,Mankind Pharma,30049099,12,742.17,507.38,721.69,,B3879D,01/01/2027,218,R6-S2,
86,VPH-00075,Alprazolam 0.5mg,Tab,Cipla,30049099  ,18,1152.74,740.12,1093.55,H1,B1680F,14.11.2025,302,R1-S3,
87,VPH-00076,Salbutamol Inhaler 200d,Inhaler,TORRENT,30049099,12,1200.35,741.33,1197.84,H,B9014C,08/09/27,487,R6-S3,
88,VPH-00077,Omeprazole 20mg,Cap,ALKEM,30049099  ,12,839.34,₹468.44,804.34,,B9125G,08.06.2027,507,R1-S1,
89,VPH-00077,Omeprazole 20mg,Cap,ALKEM,30049099  ,12,839.34,720.10,898.98,,B8065D,24/06/26,144,R5-S9,
90,VPH-00078,Iron Folic Acid,Tab,Mankind,  30049099,12,360.51,270.22,333.85,,B7169G,13/09/2026,414,R2-S1,
91,VPH-00079,Domperidone 10mg,Tab,GSK,30049099,12,697.21,422.66,664.30,,B2603G,16/05/2027,103,R2-S12,
92,VPH-00080,Dexamethasone 0.5mg,Tab,Alkem,30049099,12,526.13,312.53,523.15,H,B8273C,01/12/2026,202,R4-S4,
93,VPH-00081,Salbutamol Inhaler 200d,Inhaler,Glenmark Pharma,30049099  ,12,₹1514.47,1146.67,1496.67,H,B4024C,03.12.2027,232,R1-S1,
94,VPH-00082,Iodex 16g,Ointment,gsk,  30049099,12,1100.73,₹719.53,1047.68,,B6299H,20/12/26,183,R6-S10,
95,VPH-00083,Multivitamin Syrup 200ml,Syrup,gsk,30049099  ,12,Rs.965.79,597.40,929.38,,B7385G,21/07/26,108,R8-S3,
96,VPH-00084,Loratadine 10mg,Tab,Dr Reddy's,30049099,12,1446.05,1095.93,1418.12,,B6470H,20/10/27,591,R2-S9,
97,VPH-00085,Salbutamol Inhaler 200d,Inhaler,Torrent Pharma,30049099,12,858.38,647.36,820.36,H,B3081E,08/02/2028,252,R3-S2,
98,VPH-00086,Disprin,Tab,Abbott India,30049099,12,Rs.143.00,88.12,132.41,,B7555A,19/10/27,350,R4-S4,
99,VPH-00087,Iodex 16g,Ointment,Macleods,30049099  ,12,1473.72,991.84,₹1455.93,,B4625G,08-Jun-2027,433,R2-S11,
100,VPH-00088,Disprin,Tab,TORRENT,30049099  ,12,₹1105.82,708.41,1033.77,,B9809D,01-Mar-2028,308,R7-S5,
101,VPH-00089,Furosemide 40mg,Tab,DR REDDYS,30049099,12,1366.34,941.67,1260.80,H,B3450H,19/12/2026,591,R2-S6,
