SupplierCode,SupplierName,Phone,GSTIN,Address,DLNo
VS-001,Pharmarack,02247709079,27MSNXN4943A1Z1,"84 Industrial Estate, Dombivli",MH-20B-70177
VS-002,Sai Distributors,02229786563,27FBFET7282W1Z5,"57 Wholesale Market, Ulhasnagar",MH-21B-18617
VS-003,Konark Agencies,02247231249,27GTXVT4534O1Z7,"9 MIDC, Ulhasnagar",MH-20B-29854
VS-004,Apex Pharma,02230988319,27LSKYN7123O1Z6,"87 MIDC, Ambernath",MH-21B-73072
VS-005,Maharashtra Drug House,02221745125,27SXECD8077V1Z7,"67 MIDC, Thane",MH-20B-99491
VS-006,Mumbai Pharma,02224138619,27OKUAO1962Q1Z3,"49 Industrial Estate, Bhiwandi",MH-21B-31658
VS-007,Thane Trading,02221269612,27QXRZR6963Q1Z3,"94 Industrial Estate, Ulhasnagar",MH-20B-38062
VS-008,Kalyan Medicos,02245504033,27HPVCY1450E1Z2,"2 Industrial Estate, Ulhasnagar",MH-21B-59136
VS-009,Western Drug Mart,02223694868,27OMNMU6266W1Z8,"59 Wholesale Market, Thane",MH-21B-65589
VS-010,Vidarbha Pharma,02228630900,27HCKDW3753P1Z1,"97 MIDC, Thane",MH-20B-25555
VS-011,Konkan Distributors,02222421014,27GWYAB2976I1Z4,"28 Wholesale Market, Dombivli",MH-21B-68940
VS-012,Bombay Pharma,02249841598,27XVDPJ8829P1Z1,"4 Wholesale Market, Kalyan",MH-20B-91958
VS-013,Sahyadri Agencies,02230150717,27XKPIN5136Y1Z3,"48 MIDC, Bhiwandi",MH-20B-76335
VS-014,Pune Pharma Hub,02225073323,27UKCAR2749P1Z2,"27 MIDC, Kalyan",MH-20B-23879
VS-015,Nashik Drug House,02235259139,27OKUNA7443Y1Z4,"40 Industrial Estate, Thane",MH-20B-47062
VS-016,Aurangabad Pharma,02239929704,27ZIRYC4931C1Z7,"88 Wholesale Market, Ambernath",MH-21B-93207
VS-017,Latur Distributors,02245996137,27PTDLE8551E1Z1,"58 MIDC, Dombivli",MH-20B-57953
VS-018,Solapur Medicos,02226536812,27MJEWS3632R1Z1,"63 Wholesale Market, Ambernath",MH-21B-88439
VS-019,Nagpur Pharma,02233647210,27VOYRV7786R1Z0,"31 Wholesale Market, Navi Mumbai",MH-20B-15145
VS-020,Amravati Drug,02227206355,27KGWSU8715D1Z2,"22 MIDC, Ambernath",MH-21B-29094
VS-021,Chandrapur Agencies,02225668376,27DNLTG4003H1Z1,"23 Industrial Estate, Navi Mumbai",MH-20B-25172
VS-022,Akola Pharma,02226020759,27SCZLC8506Z1Z8,"4 MIDC, Ambernath",MH-21B-36545
VS-023,Jalgaon Distributors,02231793095,27SMKMS3609F1Z5,"86 MIDC, Ulhasnagar",MH-20B-65619
VS-024,Dhule Medicos,02228876915,27LWDLY6199O1Z5,"5 Industrial Estate, Thane",MH-20B-57778
VS-025,Sangli Pharma,02223284956,27SQZQL9038S1Z0,"27 Wholesale Market, Dombivli",MH-21B-69823
VS-026,Kolhapur Drug,02238484004,27NCGKZ4565Q1Z2,"38 Industrial Estate, Thane",MH-21B-35841
VS-027,Satara Agencies,02236762241,27FSICW4700T1Z2,"95 Wholesale Market, Dombivli",MH-20B-90610
VS-028,Beed Pharma,02224052443,27FCEMK9301T1Z4,"5 MIDC, Dombivli",MH-20B-25919
VS-029,Parbhani Drug,02235915038,27DNJWK5837B1Z3,"38 Wholesale Market, Mumbai",MH-21B-24061
VS-030,Wardha Distributors,02227546611,27RNSQR9836S1Z1,"14 MIDC, Mumbai",MH-21B-64228
